,NUMBER,Comment,Algeria,Angola,Congo,Equatorial Guinea,Gabon,Iran,Iraq,Kuwait,Libya,Nigeria,Saudia Arabia,United Arab Emirates,Venezuela,OPEC
"Apr82-
Mar83",1/,"63rd (Extraordinary) Meeting of the OPEC Conference, March 19-20, 1982.",650,--,--,--,150,"1,200","1,200",800,750,"1,300","7,150","1,000","1,500",15700
"Apr83-
Oct84",2/,"67th (Extraordinary) Meeting of the OPEC Conference, March 14, 1983.No production level allocated to Saudi Arabia which will act as the swing producer. Venezuela: 1.7m b/d including condensates.Nigeria: At the 70th Meeting of the OPEC Conference, July 10-11, 1984,  a temporary production rise to 1.4m b/d and 1.45m b/d in August 1984 and September 1984, respectively was decided.",725,--,--,--,150,"2,400","1,200","1,050","1,100","1,300","5,000","1,100","1,675",15700
"Nov84-
Aug86",3/,"71st (Extraordinary) Meeting of the OPEC Conference, October 29-31, 1984. Retained at the 75th (Extraordinary) Meeting of the OPEC Conference, October 4, 1985.",663,--,--,--,137,"2,300","1,200",900,990,"1,300","4,353",950,"1,555",14348
"Sep86-
Oct86",4/,"78th Meeting of the OPEC Conference, June 25-30, 1986 and July 28 to  August 5, 1986, with the exception of Iraq.",663,--,--,--,137,"2,300","1,200",900,990,"1,300","4,353",950,"1,555",14348
Nov86,5/,"79th (Extraordinary) Meeting of the OPEC Conference, October 6-22, 1986, with the exception of Iraq.",669,--,--,--,160,"2,317",--,921,999,"1,304","4,353",950,"1,574",13247
Dec86,6/,"79th (Extraordinary) Meeting of the OPEC Conference, October 6-22, 1986, with the exception of Iraq.",669,--,--,--,160,"2,317",--,999,999,"1,304","4,353",950,"1,574",13325
"Jan87-
Jun87",7/,"80th Meeting of the OPEC Conference, December 11-20, 1986.",635,--,--,--,152,"2,255","1,466",948,948,"1,238","4,133",902,"1,495",14172
"Jul87-
Dec87",8/,"81st Meeting of the OPEC Conference, June 25-27, 1987.",667,--,--,--,159,"2,369","1,540",996,996,"1,301","4,343",948,"1,571",14890
"Jan88-
Dec88",9/,"82nd Meeting of the OPEC Conference, December 9-14, 1987, with the exception of Iraq. Extented at the 83rd Meeting of the OPEC Conference, June 11-14, 1988, with the exception of Iraq.",667,--,--,--,159,"2,369",--,996,996,"1,301","4,343",948,"1,571",13350
"Jan89-
Jun89",10/,"84th Meeting of the OPEC Conference, November 21-28, 1988.",695,--,--,--,166,"2,640","2,640","1,037","1,037","1,355","4,524",988,"1,636",16718
